MODEL YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL TYPE,FUEL CONSUMPTION CITY,FUEL CONSUMPTION HWY,FUEL CONSUMPTION COMB,FUEL CONSUMPTION COMB,CO2 EMISSIONS,CO2 RATING,SMOG RATING
2019,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.1,10.2,12.4,23,290,3,5
2019,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,2.7,4,A8,X,12.5,10.8,11.7,24,275,4,6
2019,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,15.8,11.9,14,20,329,3,6
2019,CHEVROLET,SILVERADO 4WD TRAIL BOSS,PICKUP TRUCK - STANDARD,4.3,6,A6,X,16.3,12.9,14.8,19,347,2,6
2019,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.9,11.7,14,20,329,3,5
2019,CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,16.1,12.5,14.4,20,339,2,3
2019,CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,22,16.1,19.3,15,322,3,3
2019,CHEVROLET,SILVERADO 4WD TRAIL BOSS,PICKUP TRUCK - STANDARD,5.3,8,A6,X,16.5,13,14.9,19,350,2,5
2019,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.9,10.8,13.1,22,306,3,5
2019,CHEVROLET,SILVERADO 4WD TRAIL BOSS,PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.3,11.8,13.7,21,320,3,5
2019,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A10,Z,15,12,13.7,21,321,3,3
2019,CHEVROLET,SILVERADO LD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.6,10.9,13.5,21,317,3,3
2019,CHEVROLET,SILVERADO LD 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.8,11.4,13.8,20,325,3,3
2019,CHEVROLET,SPARK,SUBCOMPACT,1.4,4,AV,X,7.9,6.2,7.1,40,167,8,5
2019,CHEVROLET,SPARK,SUBCOMPACT,1.4,4,M5,X,8,6.2,7.2,39,170,8,5
2019,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,15.7,10.5,13.4,21,314,3,3
2019,CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8,A6,X,15.7,10.5,13.4,21,314,3,3
2019,CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8,A6,E,21.2,13.9,17.9,16,298,3,3
2019,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,16.8,11.3,14.3,20,336,2,3
2019,CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8,A6,X,16.8,11.3,14.3,20,336,2,3
2019,CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8,A6,E,22.2,15.2,19,15,317,3,3
